ID,he_id,he
1,1,-0.040464185
2,2,-0.071172523
3,3,-0.148072543
4,4,-0.157293168
5,5,-0.076016853
6,6,-0.164080613
7,7,-0.060406698
8,8,-0.148660009
9,9,-0.156685366
10,10,-0.046557516
11,11,-0.046428262
12,12,-0.123931681
13,13,-0.090334655
14,14,-0.035092201
15,15,-0.020666975
16,16,-0.088439374
17,17,-0.049878031
18,18,-0.057410896
19,19,-0.184273211
20,20,-0.154967544
21,21,-0.133134914
22,22,-0.189301337
23,23,-0.148241928
24,24,-0.122465517
25,25,-0.034468078
26,26,-0.127305097
27,27,-0.140596156
28,28,-0.146168488
29,29,-0.131913673
30,30,-0.049785611
31,31,-0.04118684
32,32,-0.05985163
33,33,-0.124412791
34,34,-0.034073684
35,35,-0.110144642
36,36,-0.116172806
37,37,-0.188602691
38,38,-0.161042616
39,39,-0.073958936
40,40,-0.121856082
41,41,-0.105987043
42,42,-0.091070679
43,43,-0.193661328
44,44,-0.174519877
45,45,-0.195561163
46,46,-0.018942505
47,47,-0.16778322
48,48,-0.140544204
49,49,-0.129181232
50,50,-0.095656258
51,51,-0.133595908
52,52,-0.037824025
53,53,-0.055352117
54,54,-0.053095062
55,55,-0.172354093
56,56,-0.060912131
57,57,-0.093887801
58,58,-0.181437756
59,59,-0.090939273
60,60,-0.016078056
61,61,-0.022945829
62,62,-0.148161556
63,63,-0.135409102
64,64,-0.078291258
65,65,-0.014806097
66,66,-0.148986983
67,67,-0.0422981
68,68,-0.094253544
69,69,-0.047556429
70,70,-0.043828633
71,71,-0.159718509
72,72,-0.038074187
73,73,-0.058430054
74,74,-0.089843247
75,75,-0.026880389
76,76,-0.166853924
77,77,-0.178230501
78,78,-0.122819542
79,79,-0.130666007
80,80,-0.087173501
81,81,-0.092773553
82,82,-0.129221405
83,83,-0.102154132
84,84,-0.016412919
85,85,-0.075363624
86,86,-0.183638811
87,87,-0.020756836
88,88,-0.195742385
89,89,-0.115910016
90,90,-0.148354057
91,91,-0.11426161
92,92,-0.130965536
93,93,-0.053496092
94,94,-0.175536653
95,95,-0.169505542
96,96,-0.138532402
97,97,-0.085319904
98,98,-0.107837388
99,99,-0.13757982
100,100,-0.157076235
101,101,-0.165703801
102,102,-0.026893341
103,103,-0.021896739
104,104,-0.110571739
105,105,-0.065826075
106,106,-0.055853134
107,107,-0.025125726
108,108,-0.011180263
109,109,-0.057953647
110,110,-0.111666531
111,111,-0.166732568
112,112,-0.120871327
113,113,-0.030284268
114,114,-0.026279025
115,115,-0.155925857
116,116,-0.125078492
117,117,-0.167602408
118,118,-0.030345543
119,119,-0.047794564
120,120,-0.123853529
121,121,-0.051083972
122,122,-0.096868306
123,123,-0.103107239
124,124,-0.173607771
125,125,-0.153711027
126,126,-0.048830631
127,127,-0.158494738
128,128,-0.04434644
129,129,-0.128095376
130,130,-0.06825888
131,131,-0.097618471
132,132,-0.198349753
133,133,-0.113488037
134,134,-0.182603047
135,135,-0.136817092
136,136,-0.179018683
137,137,-0.101787608
138,138,-0.066085341
139,139,-0.032922561
140,140,-0.04589663
141,141,-0.011315274
142,142,-0.181105159
143,143,-0.134491075
144,144,-0.136206361
145,145,-0.197357287
146,146,-0.163782574
147,147,-0.140149632
148,148,-0.034775211
149,149,-0.158553414
150,150,-0.126435115
151,151,-0.026736268
152,152,-0.193061373
153,153,-0.135981706
154,154,-0.063774072
155,155,-0.074377499
156,156,-0.146386961
157,157,-0.011736305
158,158,-0.163576174
159,159,-0.013798643
160,160,-0.029420646
161,161,-0.147771167
162,162,-0.076218317
163,163,-0.180825462
164,164,-0.076274019
165,165,-0.108288468
166,166,-0.041327144
167,167,-0.048873338
168,168,-0.161870884
169,169,-0.097840721
170,170,-0.153361185
171,171,-0.170894763
172,172,-0.074488067
173,173,-0.16472853
174,174,-0.087271874
175,175,-0.17218908
176,176,-0.123616017
177,177,-0.182224083
178,178,-0.046157452
179,179,-0.080863582
180,180,-0.045739902
181,181,-0.04257387
182,182,-0.145189756
183,183,-0.096817067
184,184,-0.022448207
185,185,-0.07715788
186,186,-0.115664151
187,187,-0.177796128
188,188,-0.088706315
189,189,-0.063651552
190,190,-0.137628552
191,191,-0.143628449
192,192,-0.017553936
193,193,-0.050171633
194,194,-0.04128378
195,195,-0.091610045
196,196,-0.150636852
197,197,-0.130114873
198,198,-0.088439452
199,199,-0.068054964
200,200,-0.106663532
201,201,-0.156549562
202,202,-0.076685551
203,203,-0.019174318
204,204,-0.136134862
205,205,-0.149954864
206,206,-0.065230819
207,207,-0.180587902
208,208,-0.136690336
209,209,-0.157962422
210,210,-0.113101153
211,211,-0.074238817
212,212,-0.085798613
213,213,-0.134379051
214,214,-0.151292473
215,215,-0.047685623
216,216,-0.16036604
217,217,-0.051163938
218,218,-0.04991411
219,219,-0.026827617
220,220,-0.020925752
221,221,-0.039307056
222,222,-0.175707143
223,223,-0.184266544
224,224,-0.15159125
225,225,-0.042992668
226,226,-0.110666551
227,227,-0.194352999
228,228,-0.191939305
229,229,-0.181795777
230,230,-0.058624135
231,231,-0.116890509
232,232,-0.15862837
233,233,-0.19478649
234,234,-0.118665481
235,235,-0.02677158
236,236,-0.040604508
237,237,-0.012200986
238,238,-0.122084367
239,239,-0.195197936
240,240,-0.025639932
241,241,-0.101476917
242,242,-0.118989115
243,243,-0.160675301
244,244,-0.125812262
245,245,-0.115799551
246,246,-0.112735706
247,247,-0.057749049
248,248,-0.189584314
249,249,-0.180729038
250,250,-0.024926518
251,251,-0.066551189
252,252,-0.118676869
253,253,-0.135778534
254,254,-0.185808018
255,255,-0.171045298
256,256,-0.084088896
257,257,-0.13003498
258,258,-0.107748903
259,259,-0.109816708
